order_id,customer_id,order_date,amount
1,101,2026-01-01,189.26
2,102,2026-01-02,47.79
3,101,2026-01-02,174.02
4,105,2026-01-03,114.15
5,101,2026-01-04,66.38
6,105,2026-01-05,61.73
7,102,2026-01-06,120.56
8,103,2026-01-06,205.22
9,101,2026-01-06,193.32
10,102,2026-01-06,179.06
11,103,2026-01-07,51.54
12,103,2026-01-07,39.02
13,104,2026-01-07,37.73
14,105,2026-01-08,77.16
15,101,2026-01-08,186.49
16,105,2026-01-08,44.33
17,101,2026-01-09,144.73
18,105,2026-01-09,223.08
19,103,2026-01-09,150.68
20,101,2026-01-09,25.77
21,103,2026-01-10,246.53
22,102,2026-01-10,218.62
23,103,2026-01-11,121.55
24,103,2026-01-11,53.22
25,103,2026-01-11,64.23
26,103,2026-01-11,179.93
27,105,2026-01-12,164.22
28,102,2026-01-13,123.63
29,103,2026-01-13,247.54
30,103,2026-01-14,213.07
31,101,2026-01-14,68.83
32,103,2026-01-15,109.27
33,102,2026-01-16,229.59
34,102,2026-01-17,169.03
35,104,2026-01-17,222.9
36,104,2026-01-17,48.57
37,102,2026-01-18,190.07
38,105,2026-01-18,76.74
39,105,2026-01-19,108.86
40,102,2026-01-19,249.37
41,102,2026-01-19,134.74
42,101,2026-01-19,192.61
43,102,2026-01-20,162.45
44,105,2026-01-21,29.93
45,104,2026-01-21,155.03
46,104,2026-01-21,139.34
47,105,2026-01-21,217.28
48,101,2026-01-22,175.2
49,103,2026-01-23,41.21
50,104,2026-01-23,52.17
51,101,2026-01-23,239.15
52,105,2026-01-24,194.06
53,105,2026-01-24,229.47
54,103,2026-01-24,212.79
55,102,2026-01-25,102.87
56,102,2026-01-25,141.75
57,105,2026-01-26,91.18
58,101,2026-01-27,233.34
59,102,2026-01-28,28.61
60,105,2026-01-28,237.53
61,101,2026-01-28,187.0
62,105,2026-01-29,194.97
63,104,2026-01-30,237.51
64,102,2026-01-30,77.29
65,102,2026-01-31,233.29
66,102,2026-01-31,182.54
67,104,2026-01-31,248.86
68,103,2026-01-31,117.95
69,101,2026-02-01,73.26
70,101,2026-02-01,94.45
71,105,2026-02-01,145.17
72,105,2026-02-01,66.75
73,101,2026-02-02,68.8
74,103,2026-02-03,31.65
75,103,2026-02-04,172.21
76,102,2026-02-04,141.72
77,102,2026-02-05,199.39
78,104,2026-02-05,59.75
79,101,2026-02-05,169.86
80,103,2026-02-05,114.54
81,101,2026-02-06,173.24
82,101,2026-02-06,29.24
83,103,2026-02-06,203.14
84,101,2026-02-06,73.43
85,105,2026-02-07,120.42
86,104,2026-02-07,58.12
87,102,2026-02-08,220.5
88,101,2026-02-08,119.14
89,105,2026-02-08,38.01
90,105,2026-02-08,211.47
91,102,2026-02-09,54.08
92,104,2026-02-10,65.23
93,104,2026-02-10,227.07
94,102,2026-02-10,104.06
95,104,2026-02-10,77.32
96,103,2026-02-11,114.41
97,105,2026-02-11,170.54
98,104,2026-02-11,51.38
99,103,2026-02-11,66.16
100,105,2026-02-12,187.9
101,103,2026-02-13,28.43
102,105,2026-02-14,231.06
103,105,2026-02-14,52.0
104,105,2026-02-14,33.83
105,102,2026-02-14,31.1
106,102,2026-02-15,109.89
107,105,2026-02-16,154.71
108,105,2026-02-16,34.27
109,103,2026-02-17,63.0
110,103,2026-02-17,71.09
111,104,2026-02-17,45.76
112,104,2026-02-18,89.3
113,101,2026-02-18,17.19
114,105,2026-02-18,249.64
115,101,2026-02-19,141.34
116,102,2026-02-20,234.32
117,101,2026-02-20,221.63
118,103,2026-02-20,81.97
119,105,2026-02-21,180.33
120,105,2026-02-21,246.21
121,105,2026-02-21,16.84
122,105,2026-02-21,85.35
123,102,2026-02-22,77.15
124,105,2026-02-23,51.53
125,105,2026-02-24,64.5
126,103,2026-02-24,62.85
127,103,2026-02-24,133.77
128,101,2026-02-25,36.69
129,104,2026-02-25,209.9
130,101,2026-02-25,15.83
131,103,2026-02-26,52.97
132,104,2026-02-26,144.64
133,105,2026-02-27,17.27
134,101,2026-02-27,237.09
135,102,2026-02-27,143.21
136,103,2026-02-27,151.89
137,104,2026-02-28,44.95
138,103,2026-02-28,100.69
139,103,2026-03-01,64.37
140,101,2026-03-02,98.11
141,105,2026-03-02,222.77
142,105,2026-03-03,191.13
143,102,2026-03-03,218.18
144,102,2026-03-03,222.13
145,101,2026-03-03,57.15
146,104,2026-03-04,203.53
147,102,2026-03-04,77.7
148,101,2026-03-04,104.9
149,104,2026-03-05,67.27
150,103,2026-03-06,86.72
151,102,2026-03-06,67.39
152,102,2026-03-06,108.64
153,103,2026-03-06,218.12
154,103,2026-03-07,165.75
155,104,2026-03-07,174.69
156,105,2026-03-07,92.82
157,101,2026-03-08,221.1
158,102,2026-03-09,151.44
159,103,2026-03-09,23.99
160,105,2026-03-09,117.12
161,104,2026-03-10,157.46
162,105,2026-03-10,42.18
163,105,2026-03-10,59.67
164,104,2026-03-11,15.4
165,103,2026-03-12,116.35
166,103,2026-03-12,161.44
167,103,2026-03-13,134.17
168,103,2026-03-14,109.56
169,103,2026-03-14,145.29
170,102,2026-03-14,113.8
171,104,2026-03-14,174.17
172,105,2026-03-15,148.74
173,104,2026-03-15,143.77
174,103,2026-03-16,82.42
175,105,2026-03-17,157.57
176,103,2026-03-17,124.27
177,104,2026-03-17,173.77
178,105,2026-03-17,126.2
179,101,2026-03-18,81.69
180,105,2026-03-18,93.77
181,103,2026-03-19,67.79
182,102,2026-03-19,49.63
183,102,2026-03-20,246.22
184,104,2026-03-21,112.39
185,104,2026-03-22,131.18
186,102,2026-03-22,49.68
187,101,2026-03-23,197.93
188,102,2026-03-24,203.97
189,105,2026-03-24,124.17
190,101,2026-03-25,122.27
191,104,2026-03-25,171.88
192,104,2026-03-26,158.97
193,105,2026-03-26,115.28
194,105,2026-03-26,119.79
195,104,2026-03-27,120.77
196,102,2026-03-27,212.37
197,105,2026-03-28,128.88
198,102,2026-03-28,79.53
199,101,2026-03-28,182.68
200,103,2026-03-29,93.92
201,105,2026-03-29,33.94
202,102,2026-03-30,105.01
203,102,2026-03-30,181.01
204,104,2026-03-31,110.79
