order_id,customer_id,amount,order_date
1,1,373.36,2026-01-01
2,8,119.37,2026-01-01
3,4,341.58,2026-01-01
4,18,52.6,2026-01-01
5,14,25.57,2026-01-01
6,3,117.13,2026-01-01
7,17,304.99,2026-01-01
8,18,107.43,2026-01-01
9,18,215.56,2026-01-01
10,15,298.74,2026-01-01
11,1,381.82,2026-01-01
12,6,352.09,2026-01-01
13,11,146.16,2026-01-01
14,7,479.03,2026-01-01
15,11,60.08,2026-01-01
16,13,57.39,2026-01-01
17,12,305.83,2026-01-01
18,2,367.57,2026-01-01
19,18,71.16,2026-01-01
20,13,48.61,2026-01-01
21,10,416.41,2026-01-01
22,20,443.87,2026-01-01
23,12,292.9,2026-01-01
24,3,32.45,2026-01-01
25,8,388.8,2026-01-01
26,3,429.11,2026-01-01
27,4,196.26,2026-01-01
28,15,321.49,2026-01-01
29,12,89.7,2026-01-01
30,12,112.66,2026-01-01
31,9,353.89,2026-01-01
32,3,308.47,2026-01-01
33,6,271.73,2026-01-01
34,8,90.07,2026-01-01
35,13,142.27,2026-01-01
36,18,117.61,2026-01-01
37,11,423.0,2026-01-01
38,2,122.23,2026-01-01
39,2,404.47,2026-01-01
40,13,141.19,2026-01-01
41,7,457.44,2026-01-01
42,19,439.42,2026-01-01
43,11,114.19,2026-01-01
44,16,203.86,2026-01-01
45,15,80.01,2026-01-01
46,5,130.85,2026-01-01
47,18,274.1,2026-01-01
48,19,219.93,2026-01-01
49,19,205.71,2026-01-01
50,8,498.69,2026-01-01
51,5,259.67,2026-01-01
52,3,380.33,2026-01-01
53,4,84.89,2026-01-01
54,6,398.12,2026-01-01
55,14,302.24,2026-01-01
56,13,196.99,2026-01-01
57,15,269.27,2026-01-01
58,18,431.78,2026-01-01
59,1,343.34,2026-01-01
60,4,344.04,2026-01-01
61,18,377.93,2026-01-01
62,11,64.66,2026-01-01
63,14,87.5,2026-01-01
64,1,477.37,2026-01-01
65,9,486.23,2026-01-01
66,6,258.76,2026-01-01
67,4,436.55,2026-01-01
68,10,422.42,2026-01-01
69,17,308.4,2026-01-01
70,5,193.22,2026-01-01
71,6,274.3,2026-01-01
72,17,460.06,2026-01-01
73,20,168.84,2026-01-01
74,1,64.82,2026-01-01
75,12,440.57,2026-01-01
76,10,127.33,2026-01-01
77,8,440.22,2026-01-01
78,3,51.97,2026-01-01
79,16,409.85,2026-01-01
80,18,385.26,2026-01-01
81,5,333.28,2026-01-01
82,18,90.91,2026-01-01
83,17,437.49,2026-01-01
84,14,482.54,2026-01-01
85,18,380.08,2026-01-01
86,7,359.34,2026-01-01
87,13,497.62,2026-01-01
88,12,224.67,2026-01-01
89,17,231.23,2026-01-01
90,8,120.1,2026-01-01
91,11,20.31,2026-01-01
92,18,122.76,2026-01-01
93,8,13.52,2026-01-01
94,2,122.18,2026-01-01
95,11,44.72,2026-01-02
96,8,146.45,2026-01-02
97,16,114.98,2026-01-02
98,5,364.44,2026-01-02
99,19,292.34,2026-01-02
100,8,394.46,2026-01-02
101,14,103.3,2026-01-02
102,4,332.9,2026-01-02
103,12,217.55,2026-01-02
104,15,433.28,2026-01-02
105,2,339.95,2026-01-02
106,4,39.7,2026-01-02
107,11,402.29,2026-01-02
